Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.τοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@τοι	τοι
urn:cite:perseus:lextoken.οὐ	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@οὐ	οὐ
urn:cite:perseus:lextoken.χραίσμῃ	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@χραίσμῃ	χραίσμῃ
urn:cite:perseus:lextoken.σκῆπτρον	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@σκῆπτρον	σκῆπτρον
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@καὶ	καὶ
urn:cite:perseus:lextoken.στέμμα	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@στέμμα	στέμμα
urn:cite:perseus:lextoken.θεοῖο	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@θεοῖο·	θεοῖο
urn:cite:perseus:lextoken.τὴνδ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@τὴνδ᾽	τὴνδ᾽
urn:cite:perseus:lextoken.ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@ἐγὼ	ἐγὼ
urn:cite:perseus:lextoken.οὐ	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@οὐ	οὐ
urn:cite:perseus:lextoken.λύσω	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@λύσω·	λύσω
urn:cite:perseus:lextoken.πρίν	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@πρίν	πρίν
urn:cite:perseus:lextoken.μιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@μιν	μιν
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@καὶ	καὶ
urn:cite:perseus:lextoken.γῆρας	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@γῆρας	γῆρας
urn:cite:perseus:lextoken.ἔπεισιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.29@ἔπεισιν	ἔπεισιν
urn:cite:perseus:lextoken.ἡμετέρῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@ἡμετέρῳ	ἡμετέρῳ
urn:cite:perseus:lextoken.ἐνὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@ἐνὶ	ἐνὶ
urn:cite:perseus:lextoken.οἴκῳ	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@οἴκῳ	οἴκῳ
urn:cite:perseus:lextoken.ἐν	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@ἐν	ἐν
urn:cite:perseus:lextoken.Ἄργεϊ	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@Ἄργεϊ	Ἄργεϊ
urn:cite:perseus:lextoken.τηλόθι	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@τηλόθι	τηλόθι
urn:cite:perseus:lextoken.πάτρης	urn:cts:greekLit:tlg0012.tlg001.msA:1.30@πάτρης	πάτρης
urn:cite:perseus:lextoken.ἱστὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.31@ἱστὸν	ἱστὸν
urn:cite:perseus:lextoken.ἐποιχομένην	urn:cts:greekLit:tlg0012.tlg001.msA:1.31@ἐποιχομένην	ἐποιχομένην
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.31@καὶ	καὶ
